Time: 12:39:17 | Battery Percent: 100
Time: 12:52:20 | Battery Percent: 93
Time: 14:42:25 | Battery Percent: 79
Time: 14:44:11 | Battery Percent: 79
Time: 14:44:22 | Battery Percent: 79
Time: 14:45:59 | Battery Percent: 78
Time: 14:46:07 | Battery Percent: 78
Time: 14:46:36 | Battery Percent: 78
Time: 14:47:40 | Battery Percent: 78
Time: 14:47:50 | Battery Percent: 78
Time: 14:48:12 | Battery Percent: 78
Time: 14:49:31 | Battery Percent: 78
Time: 14:49:38 | Battery Percent: 78
Time: 14:49:39 | Battery Percent: 77
Time: 14:49:48 | Battery Percent: 77
Time: 14:52:52 | Battery Percent: 77
Time: 14:54:16 | Battery Percent: 76
Time: 14:56:56 | Battery Percent: 76
Time: 14:57:47 | Battery Percent: 76
Time: 14:57:48 | Battery Percent: 75
Time: 14:58:13 | Battery Percent: 75
Time: 14:58:30 | Battery Percent: 75
Time: 14:58:55 | Battery Percent: 75
Time: 15:00:52 | Battery Percent: 75
Time: 15:02:55 | Battery Percent: 74
Time: 15:03:17 | Battery Percent: 74
Time: 15:04:01 | Battery Percent: 74
Time: 15:04:22 | Battery Percent: 74
Time: 15:06:27 | Battery Percent: 73
Time: 15:06:52 | Battery Percent: 73
Time: 15:08:34 | Battery Percent: 72
Time: 15:09:32 | Battery Percent: 72
Time: 15:10:04 | Battery Percent: 72
Time: 15:12:06 | Battery Percent: 71
Time: 15:16:30 | Battery Percent: 70
Time: 15:18:31 | Battery Percent: 69
Time: 12:59:55 | Battery Percent: 100
Time: 14:23:37 | Battery Percent: 85
Time: 15:05:55 | Battery Percent: 76
Time: 15:06:58 | Battery Percent: 75
Time: 16:24:35 | Battery Percent: 66
Time: 16:25:11 | Battery Percent: 66
Time: 00:36:06 | Battery Percent: 100
Time: 00:44:44 | Battery Percent: 99
Time: 02:17:04 | Battery Percent: 77
Time: 02:18:28 | Battery Percent: 76
Time: 02:20:59 | Battery Percent: 75
Time: 02:26:46 | Battery Percent: 73
Time: 02:27:10 | Battery Percent: 73
Time: 02:28:54 | Battery Percent: 73
Time: 02:28:55 | Battery Percent: 72
Time: 12:50:26 | Battery Percent: 67
Time: 12:52:37 | Battery Percent: 66
Time: 12:53:57 | Battery Percent: 66
Time: 12:54:43 | Battery Percent: 66
Time: 12:55:43 | Battery Percent: 65
Time: 12:57:04 | Battery Percent: 65
